エピソードのタイトル,ストリーミング数とダウンロード数,ランク,Episode URI
日本におけるSFTSに対するファビピラビル単群試験の再評価とリアルワールドデータ活用提案　PLOS Neglected Tropical Diseases,45,101,spotify:episode:1mBQuOLWhcUxgSG4cxCFUS
ツツガムシ病重症例に対するドキシサイクリン＋アジスロマイシン併用療法の有効性　NEJM,45,102,spotify:episode:70PVT9xu6b0TOkXu2xRyrI
SARS-CoV-2拡大後、風邪コロナウイルスはどう変化したか　OFID,45,103,spotify:episode:4cksizd6CUk7xpAxmO8wvd
CFPM vs TAZ/PIPCシリーズ③　コライダーバイアスと操作変数法における仮定の重要性　CID,45,104,spotify:episode:5mdDvGk03I2DgSBhswh4Lt
Corynebacterium silvaticum、ドイツのヒト感染例　EID,45,105,spotify:episode:28CtUtNvON2tlhyySwPC3L
日本全国の抗菌薬使用サーベイランスにおけるDASC導入の実現可能性と有用性　Antimicrobial Stewardship & Healthcare Epidemiology,44,106,spotify:episode:2KNIXxxb0OTe3P6BJXxzqc
レビュー：SARS‑CoV‑2の持続感染による影響　Nature Reviews Microbiology,44,107,spotify:episode:2u7Z8Tg1kgD45hsZV2jbb5
介護施設における多剤耐性菌減少のための多成分介入の有効性 クラスター無作為化臨床試験　JAMA Network Open,44,108,spotify:episode:4s6pgaqkIRILr90jMUehY4
CFPM vs TAZ/PIPCシリーズ② 後ろ向きコホート研究　JAMA Internal Medicine,44,109,spotify:episode:4bAyYv8XFhV0YcL78Vn9Wv
レビュー：同種造血細胞移植およびCAR-T療法後のCMVの管理　Lancet ID,44,110,spotify:episode:1qFhWbgmRPsM66aEotUup1
SARS-CoV-2の再感染が長期的な症状に与える影響　CID,44,111,spotify:episode:4bFhT97BuPYTWnxN7Ale7T
小児におけるインフルエンザとオセルタミビルの神経精神有害事象への関連性　JAMA Neurology,43,112,spotify:episode:6Iaz3psReqCQr6s2Ppr1nh
JN.1対応のCOVID‑19ワクチンによる効果 — KP.3.1.1など新系統に対する病院入院および死亡予防　Lancet ID,43,113,spotify:episode:74KziWCJbLasKPuLRyAbM6
レビュー：Long COVIDに対する介入　BMJ,43,114,spotify:episode:52xhjs5Yz5deiSDgzNt0fi
血液培養陽性までの時間と、黄色ブドウ球菌性感染性心内膜炎のリスクとの関係　CID,43,115,spotify:episode:2yYPUCRx9Rm1c0Jiak7S9I
ガイドライン：手指衛生による医療関連感染を予防するための戦略：2022年最新版　ICHE,43,116,spotify:episode:5qAI18LfVzR4aG0NwB1lyj
レビュー：急性期病院における手術部位感染予防戦略：2022年最新版　ICHE,43,117,spotify:episode:1ivjHxwdUJQHHdQrFbrvGV
COVID-19パンデミック前後でのヨーロッパでRSV感染症による入院動向　Eurosurveillance,43,118,spotify:episode:77PqcTmyasqVfOVVO152ZS
レビュー：高齢者におけるワクチンの免疫応答の最適化　lancet ID,43,119,spotify:episode:5pKuaitEmmpoNGxUfPa7ia
スーダンエボラウイルス感染症患者における後遺症　BMC Medicine,42,120,spotify:episode:5h0nmthB3VAWtN7PbS18vf
レビュー：高病原性H5鳥インフルエンザウイルスの進化・拡散・影響　Nature Reviews Microbiology,42,121,spotify:episode:27I6YdBx19U4BVMTCq8eD1
肺炎クラミジアの疫学的変化（2018年～2023年）　Eurosurveillance,42,122,spotify:episode:59b5AZwis4r8cuECCsHzk0
レビュー：チクングニア熱 — 疫学・病態・診断・対応　Nature Reviews Disease Primers,41,123,spotify:episode:5RbYu03lN6ro8iX0b7jfLx
レビュー：COVID‑19治療薬開発と治療オプション　Nature Reviews Microbiology,41,124,spotify:episode:5NcqI3sLAcJJBYHVrH5Y2d
レビュー：腸–気道マイクロバイオーム軸の健康と呼吸器疾患への関与　Nature Reviews Microbiology,41,125,spotify:episode:3PxFbHprwfsUXkoYRx78ZY
1990-2021年におけるAMRの世界的負担：2050年までの予測による系統的分析　Lancet,41,126,spotify:episode:6nhk0CtUpugHuL94UhQHbn
レビュー：Candida auris　現状と今後の展望　Microorganisms,41,127,spotify:episode:3M3ZFhfZ6gc1PyhAP9QICP
日本におけるヒト顆粒球性アナプラズマ症（HGA）の2症例 　EID,41,128,spotify:episode:1rUK4cH93CBI5iLQDZ4spm
腸球菌菌血症に対する経験的抗菌療法の早期投与の影響　CID,41,129,spotify:episode:7wNeH9IFWNUgk5bJrWtWGC
日本におけるリステリア症の臨床・ゲノムサーベイランス　Journal of Infection,40,130,spotify:episode:6KcHwIZPOJaMrq9AzV1X6V
レビュー：グローバルな抗菌薬開発と前臨床パイプラインの展望　Nature Reviews Microbiology,40,131,spotify:episode:0HtOolrQhkqfXJDV0M08HD
レビュー：結核菌の生物学的特性、病原性、および宿主との相互作用　Nature Reviews Microbiology,40,132,spotify:episode:5kdE0UOYg6MJioOCUNmPTY
臨床検査技師は匂いで細菌を嗅ぎ分けられるのか　Heliyon,40,133,spotify:episode:21LGpTYmCGKCZbd1gOQEin
SARS-CoV-2感染は肺炎の長期リスクを増加させる　CID,40,134,spotify:episode:7MTJ2JEXKf1DXSwxryLbqU
日本における3種類のサンプルを用いた自然感染由来SARS‑CoV‑2抗体保有率の比較調査　OFID,39,135,spotify:episode:45IP2jNzb2VfMlunYXFOz2
COVID-19ワクチンと変異株の動的関係：最新の免疫戦略と監視体制の課題　JAMA,39,136,spotify:episode:1BoGi795LnQbqwWek6XKx1
米国小児におけるインフルエンザ関連急性壊死性脳症（ANE）の臨床像　JAMA,39,137,spotify:episode:6AriZxkbQPrx75xY0Ydeza
母体のHIVウイルス量と母子垂直感染リスクの解析　Lancet,39,138,spotify:episode:0uQty8gMeEO5cnAjHIUkaG
免疫抑制患者におけるカンピロバクター症の臨床特徴　OFID,39,139,spotify:episode:5MxLW3qigCsj0MOlSqw6BP
犬咬傷によるヒトSFTS症例、韓国　EID,39,140,spotify:episode:0bhLvDLcmlnpED5nF74Zl6
レビュー：Aspergillus fumigatus の生物学・免疫病原性・薬剤耐性　Nature Reviews Microbiology,39,141,spotify:episode:7mtHc1av1BAoYzKbgVU6Wr
早期抗ヘルペスウイルス療法の効果と臨床アウトカムへの影響　IJID,38,142,spotify:episode:0j6UikXpOhRlzw6YILpF6o
レビュー：発酵食品の生態系における微生物の相互作用と生態学　Nature Reviews Microbiology,38,143,spotify:episode:0g7vJ0oizuMELDehzykK8N
レビュー：緑膿菌の生態学、進化、病原学、抗菌薬感受性　Nature Reviews Microbiology,38,144,spotify:episode:2ofwornnoSNI9CtFFGbCqo
レビュー：眼の感染症　CID,38,145,spotify:episode:6WlKhBtiyKMCYyycyNoeMn
日本紅斑熱（Japanese Spotted Fever）におけるキノロン系薬併用療法の効果検証　IJID,37,146,spotify:episode:6JOcmDDNXubYTud0Mp0vfU
日本におけるパーソナライズドファージ療法導入に向けた実現可能性調査　Journal of Infection and Chemotherapy,37,147,spotify:episode:2TluH0TXGLJ3NMKNLBUUVy
乳児ボツリヌス症の原因として市販ピーナッツバターが確認された英国の症例報告（2024年）　Eurosurveillance,37,148,spotify:episode:5i1ThQT54foxmNbaPkqmsc
黄色ブドウ球菌感染症に対する補助的ホスホマイシン併用療法の効果　CID,37,149,spotify:episode:1BiX5zGnzGZETO69TznPeb
レビュー：世界的な耐性問題と臨床用抗菌薬パイプライン　Nature Reviews Microbiology,37,150,spotify:episode:0ZuiQDP7htREccxpySovM1
米国における高病原性鳥インフルエンザA(H5N1)ウイルスのヒト感染症例　NEJM,37,151,spotify:episode:5BBaliSCP4ACBLiwVmF5UD
COVID-19の免疫不全患者に対するニルマトルビル-リトナビル投与期間の延長（EPIC-IC） Lancet ID,37,152,spotify:episode:1XC67jYc9QKEawChaDnUnW
プロバイオティクスは上気道炎の小児の発熱を短縮する　JAMA Network Open,36,153,spotify:episode:7ic2d7eOXjvVGn7GirYc9T
レビュー：腸内マイクロバイオームと食物繊維：肥満・代謝疾患・がんへの影響　Nature Reviews Microbiology,36,154,spotify:episode:4pEmajQZIFyKQFF14jN48d
4CMenBワクチン接種プログラム5年後の髄膜炎菌感染症および淋菌感染症に対する長期的予防　CID,36,155,spotify:episode:6Bp2TM6aUFnwMZRTY2brSM
「Hero Program」による手指衛生の遵守率の向上　AJIC,36,156,spotify:episode:3t7fWPby0mYG16RNRVAdWv
レビュー：異種移植における感染症のリスク　NEJM,36,157,spotify:episode:2bv69wPIRC9kBVSUabm2bV
チクングニアウイルス様粒子ワクチンの安全性と免疫原性　Lancet,36,158,spotify:episode:4ls14bm14njJOAyEqmL90d
中国におけるチクングニア熱流行 — Foshan市（2025年7月）　China CDC Weekly,35,159,spotify:episode:1hwmHO2psI60Sbc2VZf7NM
CoVerageを用いたゲノム監視によるSARS‑CoV‑2注目変異株の早期検出　Nature Communications,35,160,spotify:episode:3tUWRjyNQMn7i5ofU8xTE8
B細胞欠乏患者における持続的SARS‑CoV‑2感染に対する併用/延長治療　CID,35,161,spotify:episode:37j7V7Lmwu26vwdW0AOJuK
レビュー：抗菌ペプチドの構造、機能、治療の可能性　Nature Reviews Microbiology,35,162,spotify:episode:0VHty6JYMaz1xsjl39HHwU
パルボウイルスB19感染症と神経症状　EID,35,163,spotify:episode:0rMhI94xKsyfHTEUJU8AIk
COVID-19に対するオベルデシビルの有効性と安全性：第3相無作為化二重盲検プラセボ対照試験　Lancet ID,35,164,spotify:episode:5cUkk3Oa5ca3npsVSCuwnc
透析施設におけるCandida aurisの封じ込め　MMWR,35,165,spotify:episode:7qyspJ8UM3g26sJssQTmR1
COVID-19の起源：SAGO最新報告書が示す動物由来説の「今」と、研究所説に残された謎,34,166,spotify:episode:7xqa9kY7GZrk8yaVpbM2rl
レビュー：細菌代謝が抗菌薬耐性に果たす役割　Nature Reviews Microbiology,34,167,spotify:episode:4GOWXVBTu5BpjQzJDch5N1
レビュー：結核菌複合体の生態学的多様性と進化的メカニズム　Nature Reviews Microbiology,34,168,spotify:episode:3GFIwSvBNWIz6lK9eLJiS8
レビュー：Epstein–Barrウイルスの病態形成と新たな制御戦略　Nature Reviews Microbiology,34,169,spotify:episode:5h19VEtHZtVslwCKfxEwdC
レビュー：チクングニアウイルスおよびその他新興関節炎原性アルファウイルス　Nature Reviews Microbiology,34,170,spotify:episode:5gvwNqJBtyIVApsefMiTAw
SARS-CoV-2長期感染における変異株の出現と進化　EID,34,171,spotify:episode:3oqnqKqGTJ36GTDaUj8hsx
レビュー：ヒトの真菌感染症の病態形成　Nature Reviews Microbiology,33,172,spotify:episode:1gkJxY60Cmf1jtg0Sp1DIZ
レビュー：赤痢菌（Shigella sonnei）の疫学・進化・病原性・耐性と宿主相互作用　Nature Reviews Microbiology,33,173,spotify:episode:3Jdn5ftLXScpi14jDb8GeF
レビュー：ウエストナイルウイルス　JAMA,33,174,spotify:episode:0C5SNLyUceMqQAWUxF9C8f
パンデミックの隠れた健康被害：疾患負荷の分析　BMJ,33,175,spotify:episode:5RzXWr1HwlAkHuXSBF1H4T
女性の細菌性膣症に対する男性パートナーへの同時治療の有効性　NEJM,33,176,spotify:episode:548FhOQ7MH8fKRANUSpqvj
単回タフェノキン＋クロロキンによるPlasmodium vivax再発予防（DETECTIVE試験）　Lancet,32,177,spotify:episode:31JlUYf5tVL0tVwvzQ6vVr
ヨーロッパの移民におけるジフテリアのアウトブレイク　NEJM,32,178,spotify:episode:0q8xgof6EjSXhiGnTVzcSe
アルミニウム含有ワクチンと小児期の慢性疾患との関連性　Annals of Internal Medicine,32,179,spotify:episode:0V9WHsqlNUKeFd2vJGGUgp
レビュー：固形臓器および造血幹細胞移植後の糞線虫症　Clinical Transplantation,32,180,spotify:episode:2br0K9WLZgpSdDg523hqkj
ガイドライン：ヒストプラズマ症の無症候性肺結節の治療　CID,32,181,spotify:episode:55NO5LnlkpWFNOjHG0nShg
フィリピンにおけるコウモリのニパウイルス抗体の調査　EID,31,182,spotify:episode:11W1VkfEVhErGzACs5tUkb
次世代COVID-19ワクチンmRNA-1283の有効性、免疫原性、および安全性：第3相臨床試験　Lancet ID,31,183,spotify:episode:3jLSEQFQo9J7VsCzj1Bel0
レビュー：エボラウイルス病の数理モデルと疫学パラメータ　Lancet ID,31,184,spotify:episode:38kuVOX0BZ5zua1k3jwRUw
免疫不全患者における持続性COVID-19に対する自家ウイルス特異的T細胞（auto-VST）療法の有効性と安全性　CID,31,185,spotify:episode:1n4Ra5PBgky2Y84FhD2Ozq
ボディカメラ装着による手指衛生遵守率向上の検討　AJIC,30,186,spotify:episode:4l270hCc2XwHgP2iiw4r4d
DRCにおけるmpoxの臨床像と疫学的評価　Lancet,30,187,spotify:episode:4hsmg3TeNZSdzbZDwZRR0B
非KPC耐性メカニズムに対するβ-ラクタム/β-ラクタマーゼ阻害薬の有効性 Part 2 Burkholderia cepacia complex Stenotrophomonas maltophilia Acinetobacter baumannii　CID,29,188,spotify:episode:4N53WqGdFCgqqRzlo7SqnE
非KPC耐性メカニズムに対するβ-ラクタム/β-ラクタマーゼ阻害薬の有効性 Part 1 腸内細菌目・緑膿菌　CID,29,189,spotify:episode:0uvF6KjRvCUPcMbUsVpq6A
アジスロマイシン集団投与のメリットとリスク　Lancet,29,190,spotify:episode:5JpvAO1ZwQHzZ59XLoBoL9
JN.1系統対応mRNA COVID-19ワクチンの安全性に関する全国コホート研究　JAMA Network Open,27,191,spotify:episode:3dH2qmC0j5pemWu9ZNBEED
イベルメクチンによるマラリア制御のためのクラスタ無作為化試験　NEJM,27,192,spotify:episode:1hnW9cftxkufPIy1OBAd1B
プレXDR結核に対する新規治療レジメンの臨床試験（ENDTB‑Q試験）　The Lancet Respiratory Medicine,27,193,spotify:episode:1d0RBLBxz4tTSoJfwgzphR
レビュー：HIVパンデミックを理解し抑制するための系統学と分子進化学　Nature Reviews Microbiology,27,194,spotify:episode:6MLWJpSQc8p1aWVqNFlnlk
免疫抑制状態におけるペギウイルス関連脳脊髄炎　NEJM,26,195,spotify:episode:7bVrNJVQVkSsYMUrDer5Kz
レビュー：SARS‑CoV‑2スパイクタンパク質の構造・ウイルス侵入メカニズム・変異株の特徴　Nature Reviews Microbiology,26,196,spotify:episode:3tNFNHDyEQ9InSLva4H0jY
バングラデシュのコウモリ由来SARS‑CoV‑1類似ウイルスのゲノム監視　EID,25,197,spotify:episode:6jCO9anzQQXPdjX2DKiq0t
Clade Ibエムポックスウイルスの空気および表面サンプリング　Eurosurveillance,25,198,spotify:episode:6kJXBUArQirRbdLmhTkPXv
レビュー：ヒトマイクロバイオームの獲得と伝播メカニズム　Nature Reviews Microbiology,24,199,spotify:episode:7J6UhoFLgjiYsX4IkS9ccq
アジスロマイシン集団投与によるサハラ以南アフリカの小児の死亡率への影響　NEJM,21,200,spotify:episode:5iwD0oWiRaGcsmSSgMOjCM